,"this is a score, so probability of fraud = 1 - score as the score measure how good a customer is",TP,FP,TN,FN,check: TP+FP+TN+FN,Recall (True Positive Rate),Precision,False Positive Rate
,0.6919,673235,35480064,3576732002,2451897,3.62E+09,0.22,0.019,0.009822253885
,0.769,884695,71422047,3540790019,2240437,3.62E+09,0.28,0.012,0.01977238481
,0.809,1035325,107424718,3504787348,2089807,3.62E+09,0.33,0.010,0.02973931653
,0.8335,1150346,143463117,3468748949,1974786,3.62E+09,0.37,0.008,0.03971613914
,0.8506,1246261,179520557,3432691509,1878871,3.62E+09,0.40,0.007,0.04969823303
,0.8634,1330115,215590034,3396622032,1795017,3.62E+09,0.43,0.006,0.05968365923
,0.8736,1404330,251669254,3360542812,1720802,3.62E+09,0.45,0.006,0.06967178266
,0.8818,1469959,287756987,3324455079,1655173,3.62E+09,0.47,0.005,0.07966226283
,0.8886,1529845,323850464,3288361602,1595287,3.62E+09,0.49,0.005,0.08965433316
,0.8944,1585003,359948696,3252263370,1540129,3.62E+09,0.51,0.004,0.09964771985
,,1636491,396050578,3216161488,1488641,3.62E+09,0.52,0.004,0.109642117
,0.904,1684518,432155848,3180056218,1440614,3.62E+09,0.54,0.004,0.1196374521
,0.9079,1729573,468264177,3143947889,1395559,3.62E+09,0.55,0.004,0.129633634
,0.9114,1771784,504375411,3107836655,1353348,3.62E+09,0.57,0.004,0.1396306202
,0.9146,1812019,540488533,3071723533,1313113,3.62E+09,0.58,0.003,0.149628129
,0.9175,1850347,576603519,3035608547,1274785,3.62E+09,0.59,0.003,0.1596261539
,0.9202,1886796,612720510,2999491556,1238336,3.62E+09,0.60,0.003,0.1696247338
,0.9226,1921583,648839050,2963373016,1203549,3.62E+09,0.61,0.003,0.1796237425
,0.9249,1955047,684959004,2927253062,1170085,3.62E+09,0.63,0.003,0.1896231427
,0.927,1987301,721080072,2891131994,1137831,3.62E+09,0.64,0.003,0.1996228513
,0.9289,2018409,757202307,2855009759,1106723,3.62E+09,0.65,0.003,0.2096228829
,0.9307,2048545,793325606,2818886460,1076587,3.62E+09,0.66,0.003,0.2196232091
,0.9325,2077438,829450041,2782762025,1047694,3.62E+09,0.66,0.002,0.2296238498
,0.9341,2105688,865575152,2746636914,1019444,3.62E+09,0.67,0.002,0.2396246777
,0.9356,2132919,901701301,2710510765,992213,3.62E+09,0.68,0.002,0.2496257929
,0.9371,2159290,937828307,2674383759,965842,3.62E+09,0.69,0.002,0.2596271453
,0.9385,2185074,973955968,2638256098,940058,3.62E+09,0.70,0.002,0.2696286791
,0.9398,2210129,1010084264,2602127802,915003,3.62E+09,0.71,0.002,0.2796303887
,0.9411,2234503,1046213280,2565998786,890629,3.62E+09,0.72,0.002,0.2896322976
,0.9423,2258252,1082342872,2529869194,866880,3.62E+09,0.72,0.002,0.2996343659
,0.9434,2281024,1118473465,2493738601,844108,3.62E+09,0.73,0.002,0.3096367114
,0.9445,2303326,1154604551,2457607515,821806,3.62E+09,0.74,0.002,0.3196391934
,0.9456,2325224,1190735969,2421476097,799908,3.62E+09,0.74,0.002,0.3296417672
,0.9466,2346497,1226868110,2385343956,778635,3.62E+09,0.75,0.002,0.3396445412
,0.9476,2366985,1263000953,2349211113,758147,3.62E+09,0.76,0.002,0.3496475096
,0.9486,2387055,1299134291,2313077775,738077,3.62E+09,0.76,0.002,0.359650615
,0.9495,2406669,1335268041,2276944025,718463,3.62E+09,0.77,0.002,0.3696538344
,0.9504,2426077,1371402057,2240810009,699055,3.62E+09,0.78,0.002,0.3796571275
,0.9513,2445018,1407536401,2204675665,680114,3.62E+09,0.78,0.002,0.3896605114
,0.9522,2463581,1443671212,2168540854,661551,3.62E+09,0.79,0.002,0.3996640246
,0.953,2481886,1479806298,2132405768,643246,3.62E+09,0.79,0.002,0.4096676139
,0.9538,2499766,1515941821,2096270245,625366,3.62E+09,0.80,0.002,0.4196713242
,0.9546,2517095,1552077875,2060134191,608037,3.62E+09,0.81,0.002,0.4296751815
,0.9553,2534100,1588214212,2023997854,591032,3.62E+09,0.81,0.002,0.4396791171
,0.9561,2550454,1624351285,1987860781,574678,3.62E+09,0.82,0.002,0.4496832565
,0.9568,2566700,1660488366,1951723700,558432,3.62E+09,0.82,0.002,0.4596873981
,0.9575,2582955,1696625512,1915586554,542177,3.62E+09,0.83,0.002,0.4696915577
,0.9582,2598724,1732763110,1879448956,526408,3.62E+09,0.83,0.001,0.4796958424
,0.9589,2614100,1768901085,1843310981,511032,3.62E+09,0.84,0.001,0.4897002315
,0.9595,2629163,1805039402,1807172664,495969,3.62E+09,0.84,0.001,0.4997047153
,0.9602,2644070,1841177856,1771034210,481062,3.62E+09,0.85,0.001,0.509709237
,0.9608,2658603,1877316694,1734895372,466529,3.62E+09,0.85,0.001,0.519713865
,0.9615,2672892,1913455785,1698756281,452240,3.62E+09,0.86,0.001,0.529718563
,0.9621,2687147,1949594927,1662617139,437985,3.62E+09,0.86,0.001,0.5397232752
,0.9627,2700961,1985734471,1626477595,424171,3.62E+09,0.86,0.001,0.5497280987
,0.9633,2714508,2021874255,1590337811,410624,3.62E+09,0.87,0.001,0.5597329886
,0.9639,2727825,2058014310,1554197756,397307,3.62E+09,0.87,0.001,0.5697379535
,0.9645,2740817,2094154669,1518057397,384315,3.62E+09,0.88,0.001,0.5797430026
,0.965,2753628,2130295302,1481916764,371504,3.62E+09,0.88,0.001,0.5897481275
,0.9656,2766122,2166436165,1445775901,359010,3.62E+09,0.89,0.001,0.5997533161
,0.9662,2778518,2202577079,1409634987,346614,3.62E+09,0.89,0.001,0.6097585188
,0.9667,2790797,2238718199,1373493867,334335,3.62E+09,0.89,0.001,0.6197637786
,0.9673,2802920,2274859452,1337352614,322212,3.62E+09,0.90,0.001,0.6297690751
,0.9678,2814660,2311001134,1301210932,310472,3.62E+09,0.90,0.001,0.6397744905
,0.9684,2825970,2347143170,1265068896,299162,3.62E+09,0.90,0.001,0.6497800038
,0.9689,2837390,2383285154,1228926912,287742,3.62E+09,0.91,0.001,0.6597855027
,0.9694,2848584,2419427257,1192784809,276548,3.62E+09,0.91,0.001,0.6697910346
,0.97,2859749,2455569495,1156642571,265383,3.62E+09,0.92,0.001,0.6797966039
,0.9705,2870531,2491712092,1120499974,254601,3.62E+09,0.92,0.001,0.6898022725
,0.971,2881215,2527854809,1084357257,243917,3.62E+09,0.92,0.001,0.6998079744
,0.9715,2891664,2563997675,1048214391,233468,3.62E+09,0.93,0.001,0.7098137175
,0.9721,2901955,2600140783,1012071283,223177,3.62E+09,0.93,0.001,0.7198195276
,0.9726,2912105,2636283994,975928072,213027,3.62E+09,0.93,0.001,0.7298253662
,0.9731,2921912,2672427538,939784528,203220,3.62E+09,0.93,0.001,0.739831297
,0.9736,2931686,2708571165,903640901,193446,3.62E+09,0.94,0.001,0.7498372508
,0.9741,2941189,2744715050,867497016,183943,3.62E+09,0.94,0.001,0.759843276
,0.9747,2950338,2780859214,831352852,174794,3.62E+09,0.94,0.001,0.7698493785
,0.9752,2959458,2817003519,795208547,165674,3.62E+09,0.95,0.001,0.77985552
,0.9757,2968470,2853147909,759064157,156662,3.62E+09,0.95,0.001,0.789861685
,0.9762,2977224,2889292530,722919536,147908,3.62E+09,0.95,0.001,0.799867914
,0.9768,2985670,2925437374,686774692,139462,3.62E+09,0.96,0.001,0.8098742047
,0.9773,2993993,2961582478,650629588,131139,3.62E+09,0.96,0.001,0.8198805673
,0.9779,3002264,2997727607,614484459,122868,3.62E+09,0.96,0.001,0.8298869369
,0.9784,3010201,3033872955,578339111,114931,3.62E+09,0.96,0.001,0.8398933672
,0.979,3018036,3070018505,542193561,107096,3.62E+09,0.97,0.001,0.8498998533
,0.9796,3025624,3106164333,506047733,99508,3.62E+09,0.97,0.001,0.8599064164
,0.9802,3033106,3142310255,469901811,92026,3.62E+09,0.97,0.001,0.8699130055
,0.9808,3040209,3178456522,433755544,84923,3.62E+09,0.97,0.001,0.8799196902
,0.9815,3046934,3214603083,397608983,78198,3.62E+09,0.97,0.001,0.8899264562
,0.9821,3053491,3250749973,361462093,71641,3.62E+09,0.98,0.001,0.8999333133
,0.9829,3059964,3286896884,325315182,65168,3.62E+09,0.98,0.001,0.9099401763
,0.9836,3066205,3323043955,289168111,58927,3.62E+09,0.98,0.001,0.9199470835
,0.9845,3072092,3359191406,253020660,53040,3.62E+09,0.98,0.001,0.9299540959
,0.9854,3077692,3395339227,216872839,47440,3.62E+09,0.98,0.001,0.9399612107
,0.9864,3083531,3431486742,180725324,41601,3.62E+09,0.99,0.001,0.9499682409
,0.9876,3089011,3467634649,144577417,36121,3.62E+09,0.99,0.001,0.9599753795
,0.989,3094464,3503782571,108429495,30668,3.62E+09,0.99,0.001,0.9699825223
,0.9908,3100080,3539930306,72281760,25052,3.62E+09,0.99,0.001,0.9799896134
,0.9931,3106228,3576077536,36134530,18904,3.62E+09,0.99,0.001,0.9899965646
